nohup: ignoring input
2026-09-17 11:40:39,684 | INFO    | ingestion.chirps | Processed 2017-10
2026-09-17 11:40:39,684 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2017.11.tif.gz (attempt 1/4)
2026-09-17 11:40:46,990 | INFO    | ingestion.chirps | Processed 2017-11
2026-09-17 11:40:46,991 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2017.12.tif.gz (attempt 1/4)
2026-09-17 11:40:53,369 | INFO    | ingestion.chirps | Processed 2017-12
2026-09-17 11:40:53,396 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2018.01.tif.gz (attempt 1/4)
2026-09-17 11:41:00,136 | INFO    | ingestion.chirps | Processed 2018-01
2026-09-17 11:41:00,137 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2018.02.tif.gz (attempt 1/4)
2026-09-17 11:41:06,581 | INFO    | ingestion.chirps | Processed 2018-02
2026-09-17 11:41:06,697 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2018.03.tif.gz (attempt 1/4)
2026-09-17 11:41:13,371 | INFO    | ingestion.chirps | Processed 2018-03
2026-09-17 11:41:13,372 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2018.04.tif.gz (attempt 1/4)
2026-09-17 11:41:19,798 | INFO    | ingestion.chirps | Processed 2018-04
2026-09-17 11:41:19,799 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2018.05.tif.gz (attempt 1/4)
2026-09-17 11:41:25,543 | INFO    | ingestion.chirps | Processed 2018-05
2026-09-17 11:41:25,544 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2018.06.tif.gz (attempt 1/4)
2026-09-17 11:41:32,814 | INFO    | ingestion.chirps | Processed 2018-06
2026-09-17 11:41:32,814 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2018.07.tif.gz (attempt 1/4)
2026-09-17 11:41:39,295 | INFO    | ingestion.chirps | Processed 2018-07
2026-09-17 11:41:39,298 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2018.08.tif.gz (attempt 1/4)
2026-09-17 11:41:46,713 | INFO    | ingestion.chirps | Processed 2018-08
2026-09-17 11:41:46,713 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2018.09.tif.gz (attempt 1/4)
2026-09-17 11:41:53,322 | INFO    | ingestion.chirps | Processed 2018-09
2026-09-17 11:41:53,323 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2018.10.tif.gz (attempt 1/4)
2026-09-17 11:42:00,353 | INFO    | ingestion.chirps | Processed 2018-10
2026-09-17 11:42:00,353 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2018.11.tif.gz (attempt 1/4)
2026-09-17 11:42:06,247 | INFO    | ingestion.chirps | Processed 2018-11
2026-09-17 11:42:06,248 | INFO    | ingestion.chirps | Downloading https://data.chc.ucsb.edu/products/CHIRPS-2.0/africa_monthly/tifs/chirps-v2.0.2018.12.tif.gz (attempt 1/4)
2026-09-17 11:42:11,788 | INFO    | ingestion.chirps | Processed 2018-12
